first_name,last_name,position,height,weight,country,draft_year,draft_number,id_team,conference,division,team
John,Battle,G-C,1.88,78.75,USA,1985,84,1,East,Southeast,Atlanta Hawks
Kenny,Battle,G-C,1.98,94.5,USA,1989,27,24,West,Pacific,Phoenix Suns
Jamison,Battle,F,2.01,99.0,USA,undrafted,undrafted,28,East,Atlantic,Toronto Raptors
Dave,Batton,G-C,2.08,108.0,USA,1978,62,30,East,Southeast,Washington Wizards
Nicolas,Batum,G-F,2.03,103.5,France,2008,25,13,West,Pacific,LA Clippers
Johnny,Baum,G-C,1.96,90.0,USA,1969,23,5,East,Central,Chicago Bulls
Lonny,Baxter,G-C,2.03,117.0,USA,2002,43,5,East,Central,Chicago Bulls
Jerryd,Bayless,G,1.9,90.0,USA,2008,11,17,East,Central,Milwaukee Bucks
Elgin,Baylor,G-C,1.96,101.25,USA,1958,1,14,West,Pacific,Los Angeles Lakers
Aron,Baynes,F-C,2.08,117.0,Australia,undrafted,undrafted,9,East,Central,Detroit Pistons
Sergei,Bazarevich,G-C,1.88,75.60000000000001,Russia,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Kent,Bazemore,G,1.93,87.75,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Darius,Bazley,F,2.06,97.2,USA,2019,23,29,West,Northwest,Utah Jazz
Ed,Beach,G-C,1.9,90.0,USA,1950,undrafted,1,East,Southeast,Atlanta Hawks
Bradley,Beal,G,1.93,93.15,USA,2012,3,24,West,Pacific,Phoenix Suns
Butch,Beard,G-C,1.9,83.25,USA,1969,undrafted,20,East,Atlantic,New York Knicks
Michael,Beasley,F,2.06,105.75,USA,2008,2,16,East,Southeast,Miami Heat
Malik,Beasley,G,1.93,84.15,USA,2016,19,9,East,Central,Detroit Pistons
Jerome,Beasley,G-C,2.06,106.65,USA,2003,33,16,East,Southeast,Miami Heat
Zelmo,Beaty,G-C,2.06,101.25,USA,1962,3,1,East,Southeast,Atlanta Hawks
Rodrigue,Beaubois,G-C,1.88,83.25,France,2009,25,7,West,Southwest,Dallas Mavericks
MarJon,Beauchamp,F,2.01,89.55,USA,2022,24,17,East,Central,Milwaukee Bucks
Ernie,Beck,G-C,1.93,85.5,USA,1953,undrafted,10,West,Pacific,Golden State Warriors
Byron,Beck,G-C,2.06,101.25,USA,1967,15,8,West,Northwest,Denver Nuggets
Corey,Beck,G-C,1.9,90.0,USA,undrafted,undrafted,4,East,Southeast,Charlotte Hornets
William,Bedford,G-C,2.13,101.25,USA,1986,6,9,East,Central,Detroit Pistons
Charles,Bediako,C,2.13,101.25,Canada,undrafted,undrafted,8,West,Northwest,Denver Nuggets
Reece,Beekman,G,1.9,85.5,USA,undrafted,undrafted,10,West,Pacific,Golden State Warriors
Ron,Behagen,G-C,2.06,83.25,USA,1973,7,26,West,Pacific,Sacramento Kings
Elmer,Behnke,G-C,2.01,94.5,USA,1951,37,1,East,Southeast,Atlanta Hawks
Marco,Belinelli,G-F,1.96,99.0,Italy,2007,18,27,West,Southwest,San Antonio Spurs
Troy,Bell,G-C,1.85,81.0,USA,2003,16,15,West,Southwest,Memphis Grizzlies
Jordan,Bell,F,2.03,97.2,USA,2017,38,5,East,Central,Chicago Bulls
Charlie,Bell,G-C,1.9,90.0,USA,undrafted,undrafted,17,East,Central,Milwaukee Bucks
William,Bell,G-C,1.83,81.0,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Dennis,Bell,G-C,1.96,83.25,USA,1973,83,20,East,Atlantic,New York Knicks
Raja,Bell,G-C,1.96,94.5,US Virgin Islands,undrafted,undrafted,24,West,Pacific,Phoenix Suns
Walt,Bellamy,G-C,2.08,101.25,USA,1961,1,1,East,Southeast,Atlanta Hawks
DeAndre',Bembry,F,1.96,94.5,USA,2016,21,17,East,Central,Milwaukee Bucks
